backend,device,time,size
numba,cpu,4.889000047114678e-05,4
numba,cpu,3.2560999898123555e-05,4
numba,cpu,2.94700002996251e-05,4
numba,cpu,2.922000021499116e-05,4
numba,cpu,2.7530999432201497e-05,4
numba,cpu,2.7540001610759646e-05,4
numba,cpu,2.7740999939851463e-05,4
numba,cpu,2.730999949562829e-05,4
numba,cpu,2.7019999834010378e-05,4
taichi,cpu,0.00043071499931102153,4
taichi,cpu,0.00022283299949776847,4
taichi,cpu,0.00017398199997842312,4
taichi,cpu,0.000203842999326298,4
taichi,cpu,0.00019466199955786578,4
taichi,cpu,0.00022336300025926903,4
taichi,cpu,0.00017331199887848925,4
taichi,cpu,0.00015800199980731122,4
taichi,cpu,0.00019972299924120307,4
warp,cpu,0.0003210640006727772,4
warp,cpu,0.0001575620008225087,4
warp,cpu,0.00017251200006285217,4
warp,cpu,0.00013782200039713643,4
warp,cpu,0.00012722100109385792,4
warp,cpu,0.00012507199971878435,4
warp,cpu,0.00015358199925685767,4
warp,cpu,0.00014813199959462509,4
warp,cpu,0.00014747099885425996,4
torch,cpu,0.007877277999796206,4
torch,cpu,0.007488653998734662,4
torch,cpu,0.007738586000414216,4
torch,cpu,0.0074536430001899134,4
torch,cpu,0.0078074270004435675,4
torch,cpu,0.007571275000373134,4
torch,cpu,0.008357614000487956,4
torch,cpu,0.007899879001342924,4
torch,cpu,0.007754865999231697,4
jax,cpu,0.0005047360009484692,4
jax,cpu,0.0003198240010533482,4
jax,cpu,0.00032188400109589566,4
jax,cpu,0.00034779400084516965,4
jax,cpu,0.00031089399999473244,4
jax,cpu,0.000338363999617286,4
jax,cpu,0.0005263170005491702,4
jax,cpu,0.000618598000073689,4
jax,cpu,0.00033054400046239607,4
numba,cpu,0.005953644998953678,16
numba,cpu,0.006022845000188681,16
numba,cpu,0.005973674000415485,16
numba,cpu,0.005125503999806824,16
numba,cpu,3.8751000829506665e-05,16
numba,cpu,3.201999970769975e-05,16
numba,cpu,3.462099994067103e-05,16
numba,cpu,3.2809999538585544e-05,16
numba,cpu,3.4930999390780926e-05,16
taichi,cpu,0.0032536199996684445,16
taichi,cpu,0.0009867530006886227,16
taichi,cpu,0.0004326450016378658,16
taichi,cpu,0.0003097139997407794,16
taichi,cpu,0.00048719600090407766,16
taichi,cpu,0.00027475400020193774,16
taichi,cpu,0.00024148299962689634,16
taichi,cpu,0.0002778229991236003,16
taichi,cpu,0.00028624400147236884,16
warp,cpu,0.00018031199942925014,16
warp,cpu,0.00016150199917319696,16
warp,cpu,0.0001560420005262131,16
warp,cpu,0.00015264200010278728,16
warp,cpu,0.0001524520012026187,16
warp,cpu,0.00014959200052544475,16
warp,cpu,0.00015070199879119173,16
warp,cpu,0.0001657819993852172,16
warp,cpu,0.00015207199976430275,16
torch,cpu,0.010746253999968758,16
torch,cpu,0.010518191000301158,16
torch,cpu,0.008859490999384434,16
torch,cpu,0.008006359999853885,16
